corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
324,331,he/she is spitting,altsikwhsk,kaltsikwhsk,altsikwhsk,ultsikwh,haltsikwha,ultsikwhst
325,332,he/she is ascending,alhsalati',kalihsalati',alhsalatihsk,ulhsalatan,halhsalatvka,ulhsalatot
327,334,he/she is eating a meal,alhstayvhvhsk,kalihstayvhvhsk,alhstayvhvhsk,ulhstayvnh,halhstayvhvka,ulhstayht
329,336,he/she is helping,alhstelih,kalihstelih,alhstelihsk,ulhstelvh,halhstela,ulhstelht
330,337,he/she is taking off his/her cap,alhstule',kalihstule',alhstulehsk,ulhstulehs,halhstulaki,ulhstulehst
331,338,he/she is washing his/her hair,alhstuleh,kalihstuleh,alhstulehsk,ulhstuleh,halhstula,ulhstulht
332,339,he/she is putting on a cap,alhstuli',kalihstuli',alhstulihsk,ulhstulan,halhstulvka,ulhstulot
334,341,he/she is taking a seat,alhstvlhuhsk,kalihstvlhuhsk,alhstvlhuhsk,ulhstvlhun,halhstvlhuka,ulhstvlhuhst
335,342,he/she is shaking his/her head,alhstvnhih,kalihstvnhih,alhstvnhih,ulhstvnhil,halhstvnhka,ulhstvnht
336,343,he/she is dancing,alhski',kalihski',alhskihsk,ulhskihs,halhski,ulhskihst
337,344,he/she is permitting him/her,alhskolhtaneh,tsiyalihskolhtaneh,alhskolhtaneh,ulhskolhtanel,hiyalihskolhtahsi,ulhskolhtaneht
338,345,he/she is nodding his/her head,alhskuhsk,kalihskuhsk,alhskuhsk,ulhskuyh,halhskuyha,ulhskuhst
339,346,it’s ending,alhskwati',,alhskwatihsk,ulhskwat,,ulhskwatihst
340,347,he/she is sticking his/her head out,alhskwaluti',kalihskwaluti',alhskwalutihsk,ulhskwalutan,halhskwalutvka,ulhskwalutot
341,348,he/she is taking his/her hat off,alhskwethuhki',kalihskwethuhki',alhskwethuhkihsk,ulhskwethuhkihs,halhskwethuhki,ulhskwethuhkihst
