corpus_id,definition,class,prediction
386,he/she is crushing it,o,FullEventful
388,he/she is trimming it (refers to hair‚ grass‚ hedge; but not paper‚ cloth),eh-a,FullEventful
390,he/she is opening it,rev-i,FullEventful
390,he/she is opening it,rev-'i,FullEventful
392,he/she is sandwiching it,hvsg-han,FullEventful
395,he/she is showing him/her,eh-el,FullEventful
395,he/she is showing him/her,eh-el[imp2],FullEventful
395,he/she is showing him/her,eh-el[imp3],FullEventful
397,he/she is including him/her (refers to in counting),ih-ohd,FullEventful
397,he/she is including him/her (refers to in counting),ih-ohd[perf3],FullEventful
397,he/she is including him/her (refers to in counting),ih-ohd[pres2],FullEventful
397,he/she is including him/her (refers to in counting),ih-ohd[pres2-perf3],FullEventful
398,he/she is withdrawing (refers to a motion),ih-vh,FullEventful
398,he/she is withdrawing (refers to a motion),ih-vh[inf2],FullEventful
400,he/she is reprimanding him/her,g-ts[inf3],FullEventful
405,he/she is committing a crime,g-ts[inf3],FullEventful
411,he/she is gnawing it,i-a-i,FullEventful
412,he/she is mourning for him/her,hih-hil,FullEventful
413,he/she is rubbing him/her,e-a,FullEventful
414,he/she is erasing it,i-a-i,FullEventful
416,it’s fading,g-ts[inf3],FullEventful
416,it’s fading,stative,FullStative
416,it’s fading,g-ts[inf3],InfEventful
416,it’s fading,sg-s-a[inf2],InfEventful
