corpus_id,form_name,surface,segmented
148,present_1sg,tsikv'aliha,tsi-kv'al-ih-a
149,imperative,hikvhaluyha,hi-kvhaluy-ha
149,imperfective,akvhaluyhsko'i,a-kvhaluy-hsk-o'i
149,infinitive,ukvhaluyhsti,u-kvhaluy-hst-i
149,perfective,ukvhaluyhv'i,u-kvhaluy-h-v'i
149,present,akvhaluyhska,a-kvhaluy-hsk-a
149,present_1sg,tsikv'aluyhska,tsi-kv'aluy-hsk-a
152,imperative,hikvhskolv'vka,hi-kvhskol-v'vka
152,imperfective,akvhskolvhsko'i,a-kvhskol-vhsk-o'i
152,infinitive,ukvhskolvti,u-kvhskol-vt-i
152,perfective,ukvhskolvnv'i,u-kvhskol-vn-v'i
152,present,akvhskolvhska,a-kvhskol-vhsk-a
152,present_1sg,tsikvhskolvhska,tsi-kvhskol-vhsk-a
153,imperative,hakvhskwotsa,h-akvhskw-otsa
153,imperfective,akvhskwohsko'i,a->akvhskw-ohsk-o'i
153,infinitive,ukvhskwohsti,u->akvhskw-ohst-i
153,perfective,ukvhskwo'v'i,u->akvhskw-o'-v'i
153,present,akvhskwo'a,a->akvhskw-o'-a
153,present_1sg,kakvhskwo'a,k-akvhskw-o'-a
155,imperative,hi'aluki,hi-'alu-ki
155,imperfective,ahalukihsko'i,a-halu-kihsk-o'i
155,infinitive,uhalukihsti,u-halu-kihst-i
155,perfective,uhalukihsv'i,u-halu-kihs-v'i
155,present,ahaluki'a,a-halu-ki'-a
155,present_1sg,tsi'aluki'a,tsi-'alu-ki'-a
158,imperative,hi'awohsta,hi-'awohst-a
158,imperfective,ahawohstihsko'i,a-hawohst-ihsk-o'i
158,infinitive,uhawohstohti,u-hawohst-oht-i
158,perfective,uhawohsthanv'i,u-hawohst-han-v'i
158,present,ahawohstiha,a-hawohst-ih-a
158,present_1sg,tsi'awohstiha,tsi-'awohst-ih-a
160,imperative,hihita,hi-h-it-a
160,imperfective,ahitoho'i,a-h-it-oh-o'i
160,infinitive,uhitahsti,u-h-it-ahst-i
160,perfective,uhitolv'i,u-h-it-ol-v'i
160,present,ahitoha,a-h-it-oh-a
160,present_1sg,tsi'itoha,tsi-'-it-oh-a
165,imperative,hihiya,hi-h-iy-a
165,imperfective,ahiyahsko'i,a-h-iy-ahsk-o'i
165,infinitive,uhiyahsti,u-h-iy-ahst-i
165,perfective,uhiyv'i,u-h-iy-v'i
165,present,ahiya'a,a-h-iy-a'-a
165,present_1sg,tsi'iya'a,tsi-'-iy-a'-a
166,imperative,hilhahvka,hi-lha-hvka
166,imperfective,alhahvhsko'i,a-lha-hvhsk-o'i
166,infinitive,ulhohti,u-lha*-oht-i
166,perfective,ulhanhv'i,u-lha-nh-v'i
166,present,alhahvhska,a-lha-hvhsk-a
166,present_1sg,tsilhahvhska,tsi-lha-hvhsk-a
167,imperative,halhawita,h-alhawit-a
167,imperfective,alhawitihsko'i,a->alhawit-ihsk-o'i
167,infinitive,ulhawithti,u->alhawit-ht-i
167,perfective,ulhawitvhv'i,u->alhawit-vh-v'i
167,present,alhawitiha,a->alhawit-ih-a
167,present_1sg,katlawitiha,k-atlawit-ih-a
169,imperative,hiyatlawithta,hiy-atlawitht-a
169,imperfective,alhawithtihsko'i,a->alhawitht-ihsk-o'i
169,infinitive,ulhawithtohti,u->alhawitht-oht-i
169,perfective,ulhawithtanv'i,u->alhawitht-an-v'i
169,present,alhawithtiha,a->alhawitht-ih-a
169,present_1sg,tsiyatlawithtiha,tsiy-atlawitht-ih-a
171,imperative,halhiki,h-alhi-ki
171,imperfective,alhikihsko'i,a->alhi-kihsk-o'i
171,infinitive,ulhikihsti,u->alhi-kihst-i
171,perfective,ulhikihsv'i,u->alhi-kihs-v'i
171,present,alhiki'a,a->alhi-ki'-a
171,present_1sg,katliki'a,k-atli-ki'-a
172,imperfective,alhi'ilitoho'i,a->alhi-'il-it-oh-o'i
172,infinitive,ulhi'ilitahsti,u->alhi-'il-it-ahst-i
172,perfective,ulhi'ilitolv'i,u->alhi-'il-it-ol-v'i
172,present,alhi'ilitoha,a->alhi-'il-it-oh-a
173,imperative,halhilotsa,h-alh-il-otsa
173,imperfective,alhilohsko'i,a->alh-il-ohsk-o'i
173,infinitive,ulhilohsti,u->alh-il-ohst-i
173,perfective,ulhilo'v'i,u->alh-il-o'-v'i
173,present,alhilo'a,a->alh-il-o'-a
173,present_1sg,katlilo'a,k-atl-il-o'-a
175,imperfective,alhiyvhkwitvhsko'i,a->alhi-yvhkwit-vhsk-o'i
175,infinitive,ulhiyvhkwitvti,u->alhi-yvhkwit-vt-i
175,perfective,ulhiyvhkwitvnv'i,u->alhi-yvhkwit-vn-v'i
175,present,alhiyvhkwitvhska,a->alhi-yvhkwit-vhsk-a
176,imperative,halhiyvhsanawhsta,h-alhi-yvhsanawhst-a
176,imperfective,alhiyvhsanawhstihsko'i,a->alhi-yvhsanawhst-ihsk-o'i
176,infinitive,ulhiyvhsanawhstohti,u->alhi-yvhsanawhst-oht-i
176,perfective,ulhiyvhsanawhsthanv'i,u->alhi-yvhsanawhst-han-v'i
176,present,alhiyvhsanawhstiha,a->alhi-yvhsanawhst-ih-a
176,present_1sg,kaliyvhsanawhstiha,k-ali-yvhsanawhst-ih-a
177,imperative,halhtsatohvka,h-al-htsato-hvka
177,imperfective,alhtsatohvhsko'i,a->al-htsato-hvhsk-o'i
177,infinitive,ulhtsathti,u->al-htsato*-ht-i
177,perfective,ulhtsatonhv'i,u->al-htsato-nh-v'i
177,present,alhtsatohvhska,a->al-htsato-hvhsk-a
177,present_1sg,kalitsatohvhska,k-ali-tsato-hvhsk-a
179,imperfective,alhkhotvhsko'i,a->al-hkhot-vhsk-o'i
179,perfective,ulhkhotvnhv'i,u->al-hkhot-vnh-v'i
179,present,alhkhotvhska,a->al-hkhot-vhsk-a
180,imperative,halhkhothta,h-al-hkhotht-a
