corpus_id,entry_no,definition,singular,plural,animate
423,1089,mourning dove,kule tihskonhihi,kule tinihskonhihi,
424,1090,Muskogee,Guhso'i,,
425,1093,watermelon,kvkihsti,,
426,1097,bobcat,kvhe,,
427,1104,his/her life,kvnhv'i,tanvnhv'i,
428,1108,turkey,kvna,,
429,1111,broom,kvnohsahsti,tikvnohsahsti,
430,1127,meat,hawiya,,
431,1141,mud,lha wothu,,
432,1147,tree,lhkv'i,telhkv'i,
433,1148,lion,lhvtatsi,tlhvtatsi,
434,1152,board,yhahthena,tiyhahthena,
435,1152,board,yhahthena,tsuyhahthena,
436,1154,quilt,yhehkalhi,tiyhehkalhi,
437,1160,quantity (with inanimate object),ika,,inanimate
438,1161,day,ika,,
439,1164,in length,ikanvhita,itikanvhita,
440,1165,rick,ikahsvthi,,
441,1166,height,ikathi,itinathi,animate
442,1166,height,ikathi,itikathi,inanimate
443,1167,length of time,ikohita,,
444,1168,area,ikvnatena,,
445,1175,years,,itsutethiyvta,
446,1178,size,ikhita,,
447,1179,foot (refers to unit of measure),ilahsihti,,
448,1183,snake,inata,,
449,1184,forest,inake'i,,
450,1186,flour,ihsa,,
451,1187,inch,ihsihthatihsti,,
452,1188,pumpkin,iya,,
453,1189,cent,iyatanhthehti,,
454,1191,minute,iyathawhohsthanv'i,,
455,1192,apart,iyutali,,
456,1193,unit of measure (refers to acres‚ bushels‚ gallons‚ hours‚ miles‚ yards),iyulhilota,,
457,1194,weeks,iyunatotakwahsti,,
458,1196,o’clock,iyuwanhilv'i,,
459,1197,time,iyuwakhti,yuwakhti,
460,1201,Cherokee language,Jalaki,,
461,1202,Cherokee,Jalaki,Anitsalaki,
462,1202,Cherokee,Atsalaki,Anitsalaki,
463,1203,North Carolina,Jalakuwethi'i,,
464,1205,chickadee,tsikilili,,
465,1206,chewing gum,tsilali,,
466,1207,Jesus,Jihsa,,
467,1208,rabbit,tsihstu,,
468,1209,crayfish,tsihstvna,,
469,1210,scorpion,tsihstvna atatsvyhski,,
470,1211,bird,tsihskwa,,
471,1212,robin,tsihskwokwo,,
472,1213,chicken,tsithaka,,
473,1214,rooster,tsithaka atshvya,tsithaka anitshvya,
474,1215,boat,tsiyu,,
475,1216,pilot,tsiyu tilhawithtihski,tsiyu tinalhawithtihski,
476,1221,Wednesday,Jo'ine Ika,,
477,1222,tobacco,tsola,,
478,1223,window,tsolani,,
479,1226,chairman,tsutathinha'i,tsunatathinha'i,
480,1227,south,tsukanawv'i,,
481,1228,cabbage,tsukanhtena,,
482,1229,centipede,tsukanotsi,tsunikanotsi,
483,1230,price,tsukvwalhti,tsunakvwalhti,
484,1231,wealth,tsukvwalhti,,
485,1234,his/her clothes,tsunhawo,,
486,1235,north,tsuyhvtlv'i,,
487,1237,bull,tsukhanvhstena,tsunakhanvhstena,
488,1239,smoke,tsukhsvhsti,,
489,1240,copperhead,tsukhthatsihstalhi,tsunakhthatsihstalhi,
490,1242,alligator,tsulahski,,
491,1243,cast iron,tsulahski,,
492,1246,catfish,tsulihstanali,tsunilihstanali,
493,1249,worker,tsulvwhihstanehi,tsunilvwhihstanehi,
494,1250,jail,tsunatahstuti'i,titahstuti'i,
495,1251,school,tsunatelhohkwahsti'i,,
496,1252,cafe,tsunalhstayhti'i,,
497,1253,Friday,Junhkilohsti,,
498,1254,hospital,tsunitlvki'i,,
499,1255,hotel,tsunihsvhsti'i,,
500,1256,days,tsuhsvhita,,
501,1257,his/her home,tsuwenvhsv'i,,
502,1261,shell,tsvhskino,,
503,1262,February,Kaka'li,,
504,1263,coffee,khawhi,,
505,1265,locust tree,khalokwekhti,,
506,1266,Locust Grove,Kalokwekhti'i,,
507,1267,sugar,khalhsetsi,,
508,1268,month,kha'lv'i,,
509,1269,butterfly,khamama,,
510,1270,elephant,khamama,,
511,1271,wasp,khanatsihstetsi,,
512,1274,anger,khanalv'ihsti,,
513,1276,spider,khana'nehski,,
514,1277,his/her toe,khanahsa'tv'i,tekhanahsa'tv'i,
515,1279,pick,khanahstelhti,tikhanahstelhti,
516,1288,box,khanehsa'i,tikhanehsa'i,
517,1289,nest,khanehstalhahv'i,tekhanehstalhahv'i,
518,1290,hay,khanehska,,
519,1291,his/her knee,khanikeni,tikhanikeni,
520,1293,rat,khanikwhsa,,
521,1294,arm,khanoke,tikhanoke,
522,1295,his/her arm,khanokeni,tikhanokeni,
523,1296,news,khanoheta,,
524,1299,Passover Supper,Kanohiyeki,,
525,1301,sassafras,khanhstatsi,,
526,1302,blackberries,khanukalhi,,
527,1303,bullfrog,khanuna,,
528,1306,room,khanvhsulv'i,tekhanvhsulv'i,
529,1308,April,khawonhi,,
530,1310,duck,khawonu,,
531,1311,his/her nose,khayvhsoli,,
532,1320,member,kheli,anheli,
533,1321,camel,khemili,,
534,1328,chipmunk,khiyuka,,
535,1330,spade,Kotehski,Akhotehski,
536,1330,spade,Kotehski,Anikhotehski,
537,1331,crow,khoka,,
538,1334,bone,khola,,
539,1335,ashes,khohstu,,
540,1339,mulberries,khuwa,,
541,1340,sycamore,khuwatsuneka,,
542,1341,huckleberries,khuwaya,,
543,1342,Pryor,Kuwayo'i,,
544,1343,July,Kuyekwona,,
545,1344,racoon,khvlhi,,
546,1346,peach,kwhana,,
547,1347,cobra,kwhantayoha,,
548,1348,plum,kwhanunhsti'i,,
549,1349,locust,lolo,,
550,1359,hominy,newata,,
551,1371,pine,nohtsi,,
552,1372,star,nokwhsi,,
553,1373,sand,noya,noyi,
554,1379,potato,nuna,,
555,1381,New York,Nuyaki,,
556,1382,sun,nvta,,
557,1383,November,Nvtatekwa,,
558,1384,calendar,nvta tihsehsti,,
559,1385,Texas,Nvtaki,,
560,1389,Thursday,Nvhkine Ika,,
561,1390,road,nvnohi,,
562,1391,peace,nvwhthohiyata,,
563,1392,medicine,nvwothi,,
564,1393,poisonous liquid medicine (refers to a medicine not to be swallowed),nvwothi atahihi,,
565,1394,rock,nvya,,
566,1395,brick,nvya athvtanv'i,,
567,1399,mountain,otalv'i,totalv'i,
568,1400,Oklahoma,Okalahoma,,
569,1401,groundhog,okana,,
570,1404,soap,olha,,
571,1411,gospel (refers to good news),ohsta khanoheta,,
572,1413,stove,ohsi,,
573,1414,cook stove,ohsi atahstayhti'i,,
574,1415,heating stove,ohsi akanawohihsti'i,,
575,1419,trap,satvti,tihsatvti,
576,1422,persimmon,sali,,
577,1423,snapping turtle,salikuki,,
578,1424,squirrel,saloli,,
579,1425,goose,sahsa,,
580,1427,rope,steyita,,
581,1430,door,stuti,tihstuti,
582,1431,key,stu'ihsti,tihstu'ihsti,
583,1433,Satan,setani,,
584,1434,walnut,seti,,
585,1435,green snake,selakwoya,,
586,1436,corn,selu,,
587,1437,popcorn,selu anhthahskihski,,
588,1438,corn meal,selu ihsa,,
589,1439,corn cob,selu uta,selu tsuta,
590,1444,ball,skwalhehsti,tihskwalhehsti,
591,1444,ball,skwalhehsti,tihskwatlhehsti,
592,1444,ball,skwatlhehsti,tihskwalhehsti,
593,1444,ball,skwatlhehsti,tihskwatlhehsti,
594,1445,New Mexico,Skwanitsehstv'i,,
595,1446,fist,skwenhv'i,tihskwenhv'i,
596,1452,katydid,sikiki,,
597,1454,pig,sihkwa,,
598,1458,opposite side (refers to a body of water),skhoni,,
599,1460,horse,sokwili,,
600,1461,donkey,sokwili tika'lenvhita,sokwili tini'lenvhita,
601,1462,hickory nut,sohi,,
602,1467,one topic,sutaleki,,
603,1470,period of one year,sutethiyvta,,
604,1471,dough,suketa,,
605,1472,fishhook,suhti,tihsuhti,
606,1473,a unit of measure (refers to one acre‚ one bushel‚ one gallon‚ one hour‚ one mile‚ one yard),sulhilota,,
607,1474,buzzard,suli,,
608,1479,barrel,svtoni,,
609,1480,onion,svki,,
610,1486,apple,svkhtha,,
611,1487,one week,svnatotakwahsti,,
