corpus_id,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
796,he/she is pecking it,kwa2yo22-hi3h,kwa2yo2-'i3h,kwa2yo22-hi2h,kwa2yo22-lh,kwa2yo2-'a2,kwa2yo22-hst
798,he/she is putting it into a container,lht-i3h,lo21t-i3h,lht-i23hsk,lht-ha2n,lht-a2,lht-o3ht
804,he/she is gathering it,lh-i22hs-i3h,lh-i22hs-i3h,lh-i22hs-i23hsk,lh-i22hs-a2nh,lh-i23hs-a2,lh-i23hs-o3ht
809,he/she is piling it up,l-hu2hsk,l-hu2hsk,l-hu2hsk,l-hu2n,l-hu21ka2,l-hu3hst
811,he/she is putting it in a hole or a container,l-hv3hsk,l-'v3hsk,l-hv3hsk,l-ha2n,l-hv21ka2,l-ht
812,he/she is sleepy,lh-v22hsk,'l-v22hsk,lh-v22hsk,lh-v22nh,lh-v23na2,lh-v2nht
813,he/she is taking it somewhere by hand (refers to a flexible object),nh-e33k,'n-e33k,nh-e33k,nh-v33hs,nh-u21ka2,nh-v21hst
815,he/she is handling it (refers to a flexible object),nh-i23t-o32h,'n-i23t-o32h,nh-i23t-o32h,nh-i23t-o32l,nh-i23t-a2,nh-i23t-a32hst
818,he/she is eating it (refers to a flexible object),yh-e33',y-e33',yh-e33hsk,yh-a33',y-a2ka2,yh-e21hst
820,he/she is ripping it,tsa2ka2l-i3h,tsa2ka2l-i33',tsa2ka2l-i23hsk,tsa2ka2l-v22h,tsa2ka2l-a2,tsa2ka2l-ht
821,he/she is scratching him/her,tsa2li2ko23-hsk,tsa2li2ko33-hsk,tsa2li2ko23-hsk,tsa2li2ko23-hs,tsa2li2ko23-la2,tsa2li2ko23-hst
823,he/she is pricking him/her,tsa2yo22-hi3h,tsa2yo2-'i3h,tsa2yo22-hi2h,tsa2yo22-lh,tsa2yo2-'a2,tsa2yo22-hst
824,he/she is wringing it out,tsv22wa32hst-i2h,tsv22wa32hst-i2h,tsv22wa32hst-i22hsk,tsv22wa32hst-ha2n,tsv22wa21hst-a2,tsv23wa32hst-o2ht
825,he/she is stinging it,tsv3y-hsk,tsv3y-hsk,tsv3y-hsk,tsv33y-h,tsv21y-ha2,tsv21y-hst
826,he/she is leaving a living thing behind,kha2h-i22y-a3',kha2h-i22y-a3',kha2h-i22y-a32hsk,kha2h-i33y-,kha2h-i23y-a2,kha2h-i23y-a32hst
827,he/she is giving him/her a living thing,kha32n-e2h,kha32n-e2h,kha32n-e22h,kha32n-e22l,kha21-hsi2,kha21n-e3ht
829,he/she is wrapping him/her,kwhe22n-v22hsk,kwhe22n-v22hsk,kwhe22n-v22hsk,kwhe22n-v22nh,kwhe22n-v23na2,kwhe22n-v2ht
830,he/she is putting it in a container (refers to a long object),l-a3t-i3',l-a3t-i3',l-a2t-i32hsk,l-a3t-,l-a2t-a2,l-a2t-i21hst
833,he/she is taking it out of a container (refers to a solid or flexible object),l-e33',l-e33',l-e33hsk,l-e33hs,l-a2ki2,l-e21hst
834,he/she is climbing it,'l-e21k,'l-e21k,'l-e21k,l-v32hs,'l-u21ka2,l-v21hst
837,he/she is burning,le33yv22-hsk,le33yv22-hsk,le33yv22-hsk,le33yv22-hs,le21yv23-hi2,le21yv23-hi3hst
838,it is falling from an upright position (refers to a long object eg tree‚ pole),le22yv23-hsk,le22yv33-hsk,le22yv23-hsk,le22yv23-hs,le22yv23-hi2,le22yv23-hi3hst
839,he/she is climbing around,'l-i22t-o33h,'l-i22t-o33h,'l-i22t-o33h,l-i33t-o21l,'l-i23t-a2,l-i23t-a32hst
842,it is dying (refers to an animal or plant),li22who33-k,li21wo33-k,li22who33-k,li22who33-ts,li22who21-ki2,li22who21-hst
845,he/she is hoeing it,lo22k-i33',lo22k-i33',lo22k-i33hsk,lo22k-a32n,lo22k-v21ka2,lo23k-o32t
848,he/she is stopping by (where on the way somewhere),lo22hi2hst-i3h,lo2'i2hst-i3h,lo22hi2hst-i23hsk,lo22hi2hst-ha3n,lo22hi2hst-a2,lo22hi2hst-o3ht
850,he/she is overtaking him/her,lo22hi2hs-e3h,lo2'i2hs-e3h,lo22hi2hs-e23h,lo22hi2hs-e23l,lo2'i2-hsi2,lo22hi2hs-e3ht
852,he/she is bluffing him/her,lo22na32hst-i2h,lo22na32hst-i2h,lo22na32hst-i22hsk,lo22na32hst-ha2n,lo22na21hst-a2,lo22na21hst-o3ht
853,he/she is oiling it,lo23n-e3',lo23n-e3',lo23n-e32hsk,lo23n-e3',lo23n-a2,lo21n-e33t
854,he/she is making him/her fall from an elevated position,lo3nht-i2h,lo3nht-i2h,lo3nht-i23hsk,lo3nht-ha2n,lo21nht-a2,lo21nht-o3ht
855,he/she is cheating,lo22nu22-he23h,lo22nu2-'e23h,lo22nu22-he23hsk,lo22nu22-he23lh,lo22nu22-hv23la2,lo22nu22-he2ht
856,he/she is passing by without stopping,lo22-hsk,lo21-hsk,lo22-hsk,lo22-hs,lo23-hi2,lo22-hi2hst
857,he/she is falling from an elevated position,lo32-hsk,lo32-hsk,lo32-hsk,lo32-hs,lo21-hi2,lo21-hi3hst
858,he/she is arriving,'lu2h-k,'lu2h-k,'lu2h-k,lu3h-ts,'lu2h-ki2,lu3h-i3hst
859,it’s lacking,lu23lo32-k,lu23lo32-k,lu23lo32-k,lu23lo32-ts,lu22lo21-ki2,lu23lo32-hst
862,he/she is chopping it,lu32y-hsk,lu32y-hsk,lu32y-hsk,lu32y-h,lu21y-ha2,lu21y-hst
864,he/she is beating him/her up,l-v33n-hi2h,l-v33n-hi2h,l-v33n-hi2h,l-v33n-hi2l,l-v21n-hka2,l-v21n-hst
870,he/she is putting it in a hole or a container (refers to a flexible object),l-v33hsk,l-v33hsk,l-v33hsk,l-v33n,l-v2'v21ka2,l-v21t
871,he/she is selling it,na2t-e33k,na2t-e33k,na2t-e33k,na2t-i23nv32hs,na22t-u21ka2,na22t-i23nv32t
873,he/she is hiring him/her,na32lh-v2hsk,na32lh-v2hsk,na32lh-v2hsk,na32lh-v21n,na21lh-v2'v21ka2,na21lh-v21t
876,he/she is finding it (refers to a flexible object),na32whth-i3h,na32whth-i3h,na32whth-i23hsk,na32whth-v22h,na21whth-a2,na21whth-v3ht
877,he/she is taking it somewhere (refers to an animal‚ flexible object),na32wi22t-i3h,na32wi22t-i3h,na32wi22t-i23hsk,na32wi22t-v22h,na21wi23t-a2,na21wi23t-ht
879,he/she is getting it (refers to a flexible object),n-e33',n-e33',n-e33hsk,n-e33hs,n-a2ki2,n-e21hst
880,he/she is changing it,ne23tl-i33y-v2',ne23tl-i33y-v2',ne23tl-i33y-v21hsk,ne23tl-i33y-v21hs,ne22tl-i22y-v23na2,ne23tl-i33y-v21hst
882,he/she is taking it somewhere by hand (refers to a long object),n-e33k,n-e33k,n-e33k,n-v33hs,n-u21ka2,n-v21hst
883,he/she is peeling him/her,ne33ka2l-i3h,ne33ka2l-i3h,ne33ka2l-i23hsk,ne33ka2l-v22h,ne21ka2l-a2,ne21ka3l-ht
884,he/she is getting some liquid,ne22-ki33',ne22-ki33',ne22-ki33hsk,ne22-ki33hs,ne23-ki2,ne22-ki21hst
885,he/she is taking liquid from him/her,ne22ki33'-e22h,ne22ki33'-e22h,ne22ki33'-e22h,ne22ki33'-e22l,ne22ki21-hsi2,ne22ki2'-e3ht
886,he/she is bewitching him/her,ne23ku33-t-i2',ne23ku33-t-i2',ne23ku33-t-i21hsk,ne23ku33-t-,ne22ku23-t-a2,ne23ku33-t-i21hst
887,he/she is holding it in his/her hand (refers to a long object),n-e3h,n-e3h,n-e22h,,n-e22he33hsti2,
888,he/she is leaving some liquid,ne22h-i22y-a3',ne2'-i22y-a3',ne22h-i22y-a32hsk,ne22h-i33y-,ne22h-i23y-a2,ne22h-i23y-a32hst
890,he/she is finding some liquid,ne22wha2hth-i3h,ne21wa2hth-i3h,ne22wha2hth-i23hsk,ne22wha2hth-v22h,ne22wha2hth-a2,ne22wha2hth-v2ht
891,he/she is taking some liquid somewhere,ne22whi22t-i3h,ne21wi22t-i3h,ne22whi22t-i23hsk,ne22whi22t-v22h,ne22whi23t-a2,ne22whi22t-ht
893,he/she lives (in sense of resides now),ne23l-,ne23l-,ne23l-,,ne23l-e32hsti2,
895,it’s freezing,ne23hsta3l-a2t-i2',ne23hsta3l-a2t-i2',ne23hsta3l-a2t-i21hsk,ne23hsta3l-a2t-,ne22hsta2l-a2t-a2,ne23hsta3l-a2t-i21hst
896,it’s hailing,ne22hso32y-hsk,,ne22hso32y-hsk,ne22hso32y-hs,,ne22hso21y-hst
899,he/she is lying down,nh-k,nv21-k,nh-k,,nh-ke33hsti2,
901,he/she is agitating liquid,nhkwa3'-e22h,nhkwa3'-e22h,nhkwa3'-e22hsk,nhkwa3'-e22h,nhkwa2'-v23la2,nhkwa2'-e3ht
902,he/she is taking a liquid somewhere by hand,nhts-e33k,nv21ts-e33k,nhts-e33k,nhts-v33hs,nhts-u21ka2,nhts-v21hst
903,he/she is holding some liquid,nhts-e3h,nv21ts-e3h,nhts-e22h,,nhts-e22he33hsti2,
904,he/she is handling some liquid,nhts-i23t-o32h,nv21ts-i23t-o32h,nhts-i23t-o32h,nhts-i23t-o32l,nhts-i23t-a2,nhts-i23t-a32hst
908,he/she is handling it (refers to a long object),n-i23t-o32h,n-i23t-o32h,n-i23t-o32h,n-i23t-o32l,n-i23t-a2,n-i23t-a32hst
909,he/she hates him/her,ni2kwa32t-hi2h,ni2kwa32t-hi2h,ni2kwa32t-hi2h,ni2kwa32t-hi2lh,ni2kwa21t-hi2ka2,ni2kwa21t-hi3hst
910,he/she is setting up a bed,ni22lh-a3t-i3',ni21lh-a3t-i3',ni22lh-a3t-i32hsk,ni22lh-a3t-,ni22lh-a2t-a2,ni22lh-a2t-i21hst
913,he/she is pleading,ni23l-a3t-i2',ni23l-a3t-i2',ni23l-a3t-i21hsk,ni23l-a3t-,ni22l-a2t-a2,ni23l-a3t-i21hst
