corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
158,164,he/she is smothering him/her,FullEventful,cause[pres2],,ahawohstih,tsi'awohstih,ahawohst,uhawohst,hi'awohst,uhawohst
158,164,he/she is smothering him/her,FullEventful,cause[pres2-perf3],,ahawohstih,tsi'awohstih,ahawohst,uhawohsth,hi'awohst,uhawohst
160,166,he/she is handling it,FullEventful,be-at,,ahit,tsi'it,ahit,uhit,hihit,uhit
161,167,he/she is killing him/her,FullEventful,hih-lh,,a,tsi,a,u,hilu,uhi
162,168,he/she has possession of a vehicle,FullStative,stative-h,,ahi'le,tsi'ile,ahi'le,,,
162,168,he/she has possession of a vehicle,FullStative,stative-eh,,ahi'l,tsi'il,ahi'l,,,
162,168,he/she has possession of a vehicle,FullStative,stative,,ahi'leh,tsi'ileh,ahi'leh,,,
162,168,he/she has possession of a vehicle,InfEventful,g-ts,,,,,,,uhi'lv
162,168,he/she has possession of a vehicle,InfEventful,sg-s-hst,,,,,,,uhi'lv
162,168,he/she has possession of a vehicle,InfEventful,sk-h,,,,,,,uhi'lv
162,168,he/she has possession of a vehicle,InfEventful,go,,,,,,,uhi'l
162,168,he/she has possession of a vehicle,InfEventful,hih-lh,,,,,,,uhi'lv
162,168,he/she has possession of a vehicle,InfEventful,vnh-vsk[inf4],,,,,,,uhi'l
162,168,he/she has possession of a vehicle,InfEventful,oh-al,,,,,,,uhi'lv
162,168,he/she has possession of a vehicle,InfEventful,v-vhs,,,,,,,uhi'l
163,169,he/she is driving it (refers to a vehicle in motion or animal),FullStative,stative,,ahi'l,tsi'il,ahi'lihs,uhi'lvhs,,
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,g-ts,,,,,,,uhi'lv
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,sg-s-hst,,,,,,,uhi'lv
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,sk-h,,,,,,,uhi'lv
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,go,,,,,,,uhi'l
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,hih-lh,,,,,,,uhi'lv
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,vnh-vsk[inf4],,,,,,,uhi'l
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,oh-al,,,,,,,uhi'lv
163,169,he/she is driving it (refers to a vehicle in motion or animal),InfEventful,v-vhs,,,,,,,uhi'l
165,171,he/she is leaving it behind,FullEventful,a,,ahiy,tsi'iy,ahiy,uhiy,hihiy,uhiy
166,172,he/she is placing it on something,FullEventful,hvsk-nh,,alha,tsilha,alha,ulha,hilha,ulho
166,172,he/she is placing it on something,FullEventful,hvsk-nh[inf2],,alha,tsilha,alha,ulha,hilha,ulho
166,172,he/she is placing it on something,FullEventful,hvsk-nh[inf4],,alha,tsilha,alha,ulha,hilha,ulh
167,173,he/she is taking off flying,FullEventful,ih-vh,,alhawit,katlawit,alhawit,ulhawit,halhawit,ulhawit
169,175,he/she is making him/her fly,FullEventful,cause[perf3],,alhawitht,tsiyatlawitht,alhawitht,ulhawitht,hiyatlawitht,ulhawitht
169,175,he/she is making him/her fly,FullEventful,cause[pres2-perf3],,alhawithtih,tsiyatlawithtih,alhawitht,ulhawitht,hiyatlawitht,ulhawitht
171,177,he/she is having a nightmare,FullEventful,rev-gi,,alhi,katli,alhi,ulhi,halhi,ulhi
