corpus_id,prediction,definition,furthest_corpus
185,FullEventful,he/she is moving (without changing location),3.validated
186,FullEventful,he/she is changing his/her shirt,3.validated
187,FullEventful,he/she is taking his/her shirt off,3.validated
189,FullEventful,he/she is putting on a shirt,3.validated
19,FullEventful,he/she is stretching,3.validated
191,FullEventful,he/she is wrestling,3.validated
192,FullEventful,he/she is interpreting it,3.validated
195,FullEventful,he/she is building a house,3.validated
196,FullEventful,he/she is leaving,3.validated
197,FullEventful,he/she is starting it,3.validated
198,FullEventful,he/she is carrying it on his/her shoulder (refers to a long object),3.validated
200,FullEventful,he/she is putting it in liquid (refers to a long object),3.validated
204,FullEventful,he/she is hitting him/her on the mouth,3.validated
205,FullEventful,he/she is moving it from one place to another,3.validated
206,FullEventful,he/she is setting it down,3.validated
207,FullEventful,he/she is finding him/her,3.validated
208,FullEventful,he/she is visiting him/her,3.validated
21,FullEventful,he/she is denying him/her,3.validated
210,FullEventful,he/she is planting it,3.validated
215,FullEventful,he/she is calling him/her,3.validated
216,FullEventful,he/she is taking it somewhere by hand,3.validated
217,FullStative,he/she is holding it in his/her hand,3.validated
218,FullEventful,he/she is quilting it,3.validated
219,FullEventful,he/she is making an incision,3.validated
22,FullEventful,he/she is committing adultery,3.validated
220,FullEventful,he/she is imitating him/her,3.validated
222,FullEventful,he/she is looking for him/her,3.validated
223,FullEventful,he/she is swimming (refers to propelling oneself through the water),3.validated
224,FullEventful,it’s thundering,3.validated
228,FullEventful,he/she is bending it,3.validated
232,FullEventful,he/she is capturing him/her,3.validated
233,FullEventful,he/she is hitting him/her on the nose,3.validated
234,FullEventful,he/she is choking him/her,3.validated
238,FullEventful,it’s hatching,3.validated
239,FullEventful,he/she is dressing up,3.validated
242,FullEventful,he/she is acting like him/her,3.validated
25,FullEventful,it’s ripping,3.validated
250,FullEventful,it’s blooming,3.validated
253,FullEventful,he/she is lighting a fire,3.validated
254,FullEventful,he/she is blowing,3.validated
255,FullEventful,he/she is turning on a light,3.validated
259,FullEventful,he/she is chasing him/her,3.validated
261,FullEventful,he/she is riding it (refers to anything that can be straddled),3.validated
263,FullEventful,he/she is swallowing it,3.validated
266,FullEventful,he/she is shovelling it,3.validated
27,FullEventful,he/she is looking at himself/herself in a mirror,3.validated
270,FullEventful,he/she is going down-hill,3.validated
273,FullEventful,he/she knows how,3.validated
276,FullEventful,he/she is turning back,3.validated
277,FullEventful,he/she is winking,3.validated
278,FullEventful,he/she is hitting him/her on the eye,3.validated
280,FullEventful,he/she is looking around,3.validated
281,FullEventful,he/she is peeking through,3.validated
288,FullEventful,he/she is looking at him/her,3.validated
29,FullEventful,it’s beginning,3.validated
290,FullEventful,he/she is going through it,3.validated
291,FullEventful,he/she is dipping liquid,3.validated
293,FullEventful,he/she is paying it,3.validated
294,FullEventful,he/she is paying him/her,3.validated
296,FullEventful,he/she is tromping on him/her,3.validated
297,FullEventful,he/she is stepping on him/her,3.validated
298,FullEventful,he/she is playing ball,3.validated
30,FullEventful,he/she is shopping,3.validated
300,FullEventful,he/she is taking a step,3.validated
305,FullEventful,he/she is placing it in an upright position (refers to a long object),3.validated
306,FullEventful,he/she is standing in a certain spot,3.validated
307,FullEventful,he/she is stopping,3.validated
308,FullEventful,he/she is stopping him/her,3.validated
309,FullEventful,he/she is starting,3.validated
314,FullEventful,he/she is thanking him/her,3.validated
315,FullEventful,he/she is happy,3.validated
317,FullEventful,he/she is exchanging it,3.validated
318,FullEventful,he/she is running away,3.validated
32,FullEventful,he/she is taking off running,3.validated
320,FullEventful,he/she is taking his/her ring off,3.validated
322,FullEventful,he/she is putting a ring on his/her finger,3.validated
324,FullEventful,he/she is spitting,3.validated
325,FullEventful,he/she is ascending,3.validated
327,FullEventful,he/she is eating a meal,3.validated
329,FullEventful,he/she is helping,3.validated
33,FullEventful,he/she is changing,3.validated
330,FullEventful,he/she is taking off his/her cap,3.validated
331,FullEventful,he/she is washing his/her hair,3.validated
332,FullEventful,he/she is putting on a cap,3.validated
334,FullEventful,he/she is taking a seat,3.validated
336,FullEventful,he/she is dancing,3.validated
337,FullEventful,he/she is permitting him/her,3.validated
338,FullEventful,he/she is nodding his/her head,3.validated
339,FullEventful,it’s ending,3.validated
34,FullEventful,he/she is taking turns with him/her,3.validated
340,FullEventful,he/she is sticking his/her head out,3.validated
341,FullEventful,he/she is taking his/her hat off,3.validated
