definition,class,root,success,ambiguous_forms,notes
it’s raining,stative,akahsk,False,,
he/she is eating it,i-a-i,k,True,,
he/she is eating it,i-a-i,k,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-gi,,True,,
he/she is picking it up,rev-i,k,True,,
he/she is picking it up,rev-i,k,True,,
he/she is in agony,become,kilhiyo,True,,
he/she is in agony,become,kilhiyo,False,,
he/she is chewing it,o,kihst,True,,
he/she is chewing it,o,kihst,True,,
he/she is burning him/her,cause,akohvhst,True,,
he/she is burning him/her,cause[perf3],akohvhst,False,,
he/she is burning him/her,cause[pres2],akohvhstih,False,,
he/she is burning him/her,cause[pres2-perf3],akohvhstih,False,,
it’s burning,sk-h,akohv,False,,
it’s burning,sk-h[imp2],akohv,False,,
it’s burning,terminative,ak,True,present_1sg,Ambiguity implies lossy rule reversal
it’s burning,terminative-no-o,ako,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is reading,e-a,koliy,True,,
he/she is reading,e-a,koliy,True,,
he/she is target practicing,ih-vh,akon,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is showing it to him/her,cause,kowhthvht,True,,
he/she is showing it to him/her,cause,kowhthvht,True,,
he/she is showing it to him/her,cause[perf3],kowhthvht,False,,
he/she is showing it to him/her,cause[perf3],kowhthvht,False,,
he/she is showing it to him/her,cause[pres2],kowhthvhtih,False,,
he/she is showing it to him/her,cause[pres2],kowhthvhtih,False,,
he/she is showing it to him/her,cause[pres2-perf3],kowhthvhtih,False,,
he/she is showing it to him/her,cause[pres2-perf3],kowhthvhtih,False,,
he/she is chopping it up,sk-h,kvhaluy,True,,
he/she is chopping it up,sk-h[imp2],kvhaluy,False,,
he/she is scolding him/her,vsk,kvhskol,False,,
he/she is scolding him/her,vsk,kvhskol,False,,
he/she is scolding him/her,vsk[imp2],kvhskol,True,,
he/she is scolding him/her,vsk[imp2],kvhskol,True,,
he/she is washing his face,o,akvhskw,True,,
he/she is diverting him/her,rev-gi,halu,True,,
he/she is diverting him/her,rev-i,haluk,True,,
he/she is smothering him/her,cause,hawohst,True,,
he/she is smothering him/her,cause[perf3],hawohst,False,,
he/she is smothering him/her,cause[pres2],hawohstih,False,,
he/she is smothering him/her,cause[pres2-perf3],hawohstih,False,,
he/she is handling it,be-at,h,True,,
he/she is handling it,be-at-weak,hit,True,,
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh,,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is killing him/her,hih-lh[inf2],,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is leaving it behind,leaving,h,True,,
he/she is placing it on something,hvsk-nh[inf4],lha,True,,
he/she is placing it on something,hvsk-nh[inf4],lha,True,,
he/she is placing it on something,hvsk-nh[inf4],lha,True,,
he/she is placing it on something,hvsk-nh[inf4],lha,True,,
he/she is taking off flying,ih-vh,alhawit,True,,
he/she is making him/her fly,cause[perf3],alhawitht,True,,
he/she is making him/her fly,cause[pres2-perf3],alhawithtih,False,,
he/she is having a nightmare,rev-gi,alhi,True,,
he/she is having a nightmare,rev-i,alhik,True,,
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,alhi'il,True,,
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,lhi'il,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at,alhi'il,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at,lhi'il,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,alhi'il,True,,
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,alhi'il,True,,
it’s taking time,be-at,lhi'il,True,,
it’s taking time,be-at,hi'il,True,,
it’s taking time,be-at,hi'il,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at,hi'il,True,,
it’s taking time,be-at,hi'il,True,,
it’s taking time,be-at-weak,lhi'ilit,True,,
it’s taking time,be-at-weak,alhi'ilit,True,,
it’s taking time,be-at-weak,lhi'ilit,True,,
it’s taking time,be-at-weak,lhi'ilit,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at-weak,alhi'ilit,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at-weak,lhi'ilit,True,imperative,Ambiguity implies lossy rule reversal
it’s taking time,be-at-weak,lhi'ilit,True,,
it’s taking time,be-at-weak,alhi'ilit,True,,
it’s taking time,be-at-weak,lhi'ilit,True,,
it’s taking time,be-at-weak,lhi'ilit,True,,
it’s taking time,be-at-weak,alhi'ilit,True,,
it’s taking time,be-at-weak,lhi'ilit,True,,
